,,,,,Turns,,,,,,,,,,,,,,,,
10,5,10,8,0,30,0,77,10,1,51,5,2,100,27,3,14,0,4,51,0, 
10,5,10,9,0,29,0,19,6,1,98,30,2,60,0,3,100,15,4,84,7, 
10,5,10,8,0,51,0,97,29,1,55,3,2,96,17,3,100,21,4,68,7, 
10,5,10,9,0,32,0,73,8,1,97,5,2,53,20,3,97,30,4,100,20, 
10,5,10,8,0,48,0,45,10,1,100,25,2,99,8,3,60,2,4,99,15, 
10,5,10,9,0,20,0,70,20,1,100,16,2,78,9,3,49,4,4,39,5, 
10,5,10,8,1,16,0,92,30,1,100,27,2,60,5,3,67,5,4,40,13, 
10,5,10,8,0,17,0,100,19,1,57,22,2,90,22,3,53,17,4,75,10, 
10,5,10,8,0,24,0,98,16,1,100,30,2,80,19,3,96,22,4,45,2, 
10,5,10,8,0,27,0,75,18,1,81,0,2,100,39,3,76,30,4,97,64, 
10,5,10,8,0,21,0,14,3,1,61,0,2,18,5,3,86,2,4,100,26, 
10,5,10,8,0,15,0,68,10,1,100,13,2,22,4,3,41,8,4,99,0, 
10,5,10,9,0,23,0,29,12,1,100,23,2,91,33,3,93,22,4,79,10, 
10,5,10,8,0,17,0,99,33,1,100,10,2,49,10,3,17,2,4,13,0, 
10,5,10,8,0,15,0,23,0,1,13,0,2,100,25,3,29,5,4,50,22, 
10,5,10,8,0,30,0,26,15,1,95,38,2,39,9,3,100,44,4,50,11, 
10,5,10,8,0,43,0,99,24,1,85,50,2,53,11,3,100,58,4,81,26, 
10,5,10,9,0,25,0,49,15,1,98,46,2,99,10,3,45,0,4,100,21, 
10,5,10,8,0,27,0,47,4,1,100,59,2,82,10,3,79,5,4,5,0, 
10,5,10,9,0,22,0,66,9,1,16,0,2,100,12,3,64,10,4,5,0, 
10,5,10,8,0,27,0,97,56,1,100,12,2,72,0,3,79,24,4,50,8, 
10,5,10,8,0,33,0,99,30,1,42,5,2,62,19,3,69,0,4,100,94, 
10,5,10,8,1,28,0,95,40,1,98,0,2,67,13,3,10,0,4,100,20, 
10,5,10,8,0,26,0,100,47,1,55,0,2,97,20,3,99,12,4,80,9, 
10,5,10,7,0,26,0,26,0,1,41,0,2,26,0,3,94,15,4,100,20, 
10,5,10,8,0,25,0,100,22,1,93,0,2,32,5,3,99,88,4,73,1, 
10,5,10,9,0,20,0,99,28,1,29,4,2,29,5,3,15,5,4,100,10, 
10,5,10,9,0,31,0,100,5,1,46,10,2,43,6,3,40,0,4,95,29, 
10,5,10,8,0,19,0,63,6,1,14,0,2,69,6,3,100,13,4,97,20, 
10,5,10,8,0,30,0,98,29,1,98,27,2,57,21,3,98,28,4,100,16, 
10,5,10,9,0,29,0,60,5,1,29,0,2,48,15,3,100,18,4,71,0, 
10,5,10,9,0,31,0,31,4,1,31,2,2,100,10,3,95,19,4,56,5, 
10,5,10,8,0,12,0,39,21,1,97,4,2,100,0,3,16,0,4,47,0, 
