,,,,,Turns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,36,0,100,10,1,45,6,2,87,15,3,52,6,4,76,10, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,56,0,86,15,1,100,35,2,86,10,3,93,17,4,72,5, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,40,0,51,7,1,100,27,2,67,17,3,93,61,4,68,8, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,12,0,40,0,45,15,1,70,12,2,41,15,3,92,29,4,100,22, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,76,0,76,38,1,89,33,2,85,23,3,83,48,4,100,32, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,1,50,0,92,24,1,99,7,2,71,27,3,98,15,4,100,10, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,38,0,80,20,1,100,30,2,52,3,3,63,18,4,47,16, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,65,0,90,12,1,77,28,2,100,43,3,84,2,4,99,34, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,43,0,97,16,1,87,22,2,71,10,3,100,26,4,78,27, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,44,0,77,22,1,92,18,2,98,8,3,100,13,4,57,10, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,40,0,55,11,1,75,27,2,100,22,3,87,7,4,59,19, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,42,0,65,14,1,97,25,2,63,14,3,53,0,4,100,15, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,47,0,76,30,1,82,14,2,100,32,3,50,6,4,48,17, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,61,0,69,14,1,70,23,2,99,38,3,69,28,4,100,37, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,37,0,99,44,1,68,35,2,100,46,3,82,44,4,34,11, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,57,0,54,23,1,100,18,2,79,29,3,57,18,4,51,16, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,55,0,77,33,1,83,25,2,65,35,3,100,44,4,97,38, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,48,0,68,10,1,75,8,2,97,35,3,100,29,4,84,26, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,47,0,100,37,1,70,22,2,64,28,3,88,24,4,45,27, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,29,0,25,8,1,78,26,2,63,18,3,100,19,4,35,9, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,11,0,55,0,91,16,1,99,42,2,99,33,3,100,40,4,99,29, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,33,0,92,7,1,100,3,2,21,8,3,63,4,4,69,19, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,57,0,83,41,1,100,38,2,50,10,3,46,10,4,50,23, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,52,0,94,15,1,87,20,2,76,8,3,98,23,4,100,8, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,40,0,100,43,1,63,29,2,73,42,3,78,36,4,83,51, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,38,0,61,15,1,100,22,2,81,9,3,91,13,4,80,22, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,39,0,92,37,1,78,32,2,85,23,3,100,29,4,90,33, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,47,0,100,7,1,63,26,2,88,18,3,42,15,4,63,10, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,48,0,56,5,1,31,7,2,56,20,3,100,19,4,27,3, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,36,0,95,29,1,100,35,2,63,22,3,63,27,4,96,33, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,52,0,100,27,1,44,44,2,87,36,3,73,69,4,84,28, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,38,0,60,21,1,90,20,2,100,15,3,91,11,4,78,11, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,37,0,83,10,1,89,25,2,100,28,3,74,15,4,60,6, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,38,0,86,18,1,57,25,2,100,12,3,33,12,4,67,26, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,39,0,76,18,1,85,10,2,100,1,3,62,15,4,76,15, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,36,0,100,37,1,61,12,2,51,30,3,51,17,4,68,22, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,56,0,85,4,1,73,15,2,85,31,3,85,24,4,100,63, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,47,0,77,10,1,55,23,2,80,16,3,100,6,4,63,29, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,43,0,99,33,1,98,6,2,63,26,3,100,23,4,55,27, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,48,0,42,0,1,41,8,2,81,7,3,54,14,4,100,17, ,,,,,,,,,,,,,,,,,,,,,
