mapLength,numberOfPlayers,diceMax,timeToBuildGame,timeToFinishGame,numberOfTurnsByPlayer,numberOfTurns,player1id,player1Pos,player1Coins,,,,,,,,,,,,,
10,5,6,9,0,51,253,0,82,15,1,91,20,2,100,15,3,99,5,4,84,10, 
10,5,6,8,0,44,219,0,93,11,1,88,11,2,67,13,3,100,32,4,99,10, 
10,5,6,8,0,40,197,0,72,20,1,100,25,2,96,14,3,54,44,4,87,28, 
10,5,6,9,0,43,213,0,87,21,1,33,24,2,100,52,3,31,29,4,69,25, 
10,5,6,9,0,34,169,0,83,15,1,29,10,2,16,15,3,100,5,4,42,5, 
10,5,6,9,0,41,201,0,100,15,1,33,5,2,96,22,3,59,7,4,84,14, 
10,5,6,9,0,52,259,0,89,28,1,73,13,2,73,43,3,100,56,4,73,39, 
10,5,6,10,0,33,164,0,76,12,1,92,35,2,67,14,3,100,17,4,59,12, 
10,5,6,9,0,20,97,0,33,6,1,100,11,2,25,0,3,52,10,4,44,5, 
10,5,6,9,0,31,151,0,100,10,1,74,21,2,47,15,3,27,0,4,71,27, 
10,5,6,9,0,35,172,0,59,9,1,100,5,2,50,20,3,20,0,4,88,17, 
10,5,6,8,0,39,195,0,52,15,1,61,13,2,99,12,3,68,17,4,100,16, 
10,5,6,8,0,24,118,0,42,5,1,27,1,2,100,4,3,27,5,4,66,15, 
10,5,6,9,0,27,132,0,71,20,1,100,37,2,40,10,3,42,24,4,53,1, 
10,5,6,9,0,31,151,0,100,23,1,33,7,2,67,10,3,48,2,4,34,9, 
10,5,6,8,0,29,142,0,64,42,1,100,30,2,54,16,3,28,0,4,35,13, 
10,5,6,9,0,48,238,0,98,14,1,42,7,2,100,40,3,42,5,4,42,13, 
10,5,6,9,0,32,160,0,47,14,1,88,19,2,34,19,3,51,6,4,100,46, 
10,5,6,9,0,43,212,0,89,18,1,100,15,2,88,25,3,58,20,4,74,28, 
10,5,6,9,0,26,127,0,61,19,1,100,22,2,40,9,3,45,18,4,52,13, 
10,5,6,9,0,29,145,0,33,15,1,57,5,2,62,7,3,25,0,4,100,14, 
10,5,6,9,0,33,161,0,100,22,1,86,16,2,94,21,3,69,17,4,67,9, 
10,5,6,10,0,34,168,0,33,0,1,73,9,2,100,24,3,80,14,4,39,7, 
10,5,6,9,0,28,138,0,98,3,1,95,21,2,100,33,3,11,0,4,16,5, 
10,5,6,8,1,36,180,0,87,19,1,99,19,2,64,20,3,89,14,4,100,46, 
10,5,6,9,0,34,169,0,81,3,1,81,1,2,97,35,3,100,36,4,98,38, 
10,5,6,9,0,41,202,0,61,23,1,100,18,2,72,15,3,72,11,4,96,21, 
10,5,6,9,0,31,155,0,53,13,1,88,22,2,43,18,3,44,28,4,100,8, 
10,5,6,9,0,46,228,0,99,13,1,79,16,2,100,37,3,59,16,4,45,25, 
10,5,6,9,0,53,264,0,39,5,1,65,15,2,85,24,3,100,2,4,85,15, 
10,5,6,9,0,42,207,0,72,30,1,100,37,2,93,53,3,99,28,4,54,29, 
10,5,6,8,0,30,146,0,100,20,1,63,11,2,65,24,3,87,12,4,42,19, 
10,5,6,8,1,34,166,0,100,39,1,87,22,2,91,33,3,96,31,4,95,29, 
10,5,6,9,0,26,126,0,100,10,1,46,15,2,95,26,3,51,23,4,53,0, 
10,5,6,9,0,30,150,0,86,15,1,69,34,2,87,30,3,93,31,4,100,29, 
10,5,6,8,0,40,196,0,100,17,1,59,6,2,73,6,3,50,1,4,89,26, 
10,5,6,9,0,35,171,0,100,8,1,83,14,2,84,21,3,97,40,4,72,7, 
10,5,6,9,0,41,204,0,68,24,1,19,43,2,98,31,3,100,18,4,83,21, 
10,5,6,9,0,32,160,0,58,22,1,30,5,2,58,13,3,53,23,4,100,17, 
10,5,6,9,0,43,215,0,99,31,1,71,10,2,96,23,3,84,24,4,100,35, 
10,5,6,9,0,58,290,0,73,32,1,79,15,2,56,38,3,99,20,4,100,18, 
10,5,6,8,0,37,183,0,83,26,1,82,17,2,100,28,3,67,10,4,86,18, 
10,5,6,9,1,43,212,0,99,40,1,100,35,2,39,6,3,40,0,4,42,10, 
10,5,6,9,0,56,278,0,51,46,1,86,13,2,100,26,3,42,8,4,48,3, 
10,5,6,9,0,22,109,0,32,12,1,27,35,2,57,11,3,100,5,4,82,10, 
10,5,6,9,0,29,144,0,75,11,1,54,14,2,98,7,3,100,12,4,70,10, 
10,5,6,8,0,39,194,0,48,11,1,98,6,2,95,23,3,100,42,4,78,7, 
10,5,6,8,0,41,205,0,48,5,1,78,15,2,26,0,3,68,5,4,100,5, 
10,5,6,9,0,32,156,0,100,15,1,62,20,2,51,10,3,41,5,4,30,3, 
10,5,6,8,0,43,214,0,70,22,1,73,38,2,87,20,3,100,52,4,86,37, 
10,5,6,8,0,22,107,0,32,0,1,100,20,2,39,5,3,28,0,4,24,7, 
10,5,6,12,0,31,151,0,100,27,1,65,23,2,44,8,3,43,8,4,42,27, 
10,5,6,9,0,21,102,0,36,0,1,100,8,2,71,25,3,75,12,4,82,7, 
10,5,6,9,0,41,204,0,51,33,1,81,24,2,53,18,3,100,10,4,70,10, 
10,5,6,9,0,70,346,0,100,37,1,63,39,2,99,8,3,67,21,4,63,15, 
10,5,6,9,0,33,163,0,99,21,1,84,13,2,100,34,3,25,10,4,54,7, 
10,5,6,9,0,34,168,0,80,12,1,56,1,2,100,30,3,56,10,4,69,5, 
10,5,6,9,0,45,225,0,81,12,1,85,15,2,70,31,3,81,32,4,100,17, 
10,5,6,9,0,39,195,0,68,27,1,76,24,2,61,10,3,76,10,4,100,36, 
10,5,6,8,1,26,127,0,59,6,1,100,10,2,32,0,3,47,11,4,83,24, 
10,5,6,9,0,41,205,0,71,21,1,89,31,2,41,7,3,55,8,4,100,20, 
10,5,6,9,0,25,121,0,100,34,1,57,12,2,52,11,3,70,25,4,35,8, 
10,5,6,9,0,25,124,0,62,12,1,53,13,2,53,9,3,100,15,4,12,20, 
10,5,6,9,0,41,205,0,96,24,1,94,27,2,67,18,3,85,30,4,100,20, 
10,5,6,9,0,46,228,0,66,6,1,69,11,2,100,64,3,68,7,4,68,26, 
10,5,6,8,0,38,190,0,95,14,1,91,17,2,94,20,3,96,11,4,100,20, 
10,5,6,8,0,30,148,0,62,16,1,62,8,2,100,30,3,69,32,4,59,10, 
10,5,6,8,0,29,142,0,66,41,1,100,10,2,47,39,3,74,14,4,22,5, 
10,5,6,8,0,34,170,0,59,5,1,86,30,2,65,17,3,59,19,4,100,36, 
10,5,6,9,0,39,191,0,100,26,1,65,10,2,41,15,3,83,10,4,68,19, 
10,5,6,8,0,39,194,0,53,11,1,98,13,2,98,37,3,100,33,4,94,19, 
10,5,6,8,0,42,206,0,100,21,1,61,7,2,84,28,3,86,19,4,88,12, 
10,5,6,9,0,42,207,0,29,0,1,100,16,2,83,10,3,22,0,4,87,22, 
10,5,6,9,0,36,180,0,99,17,1,87,34,2,22,3,3,39,0,4,100,8, 
10,5,6,10,0,18,90,0,63,16,1,56,10,2,50,6,3,39,3,4,100,15, 
10,5,6,9,0,24,117,0,93,1,1,100,25,2,22,0,3,36,4,4,98,15, 
10,5,6,9,0,30,146,0,100,31,1,82,22,2,69,14,3,76,13,4,59,16, 
10,5,6,9,0,33,165,0,97,26,1,58,7,2,64,27,3,64,22,4,100,17, 
10,5,6,8,0,19,94,0,43,15,1,43,5,2,88,18,3,100,5,4,43,7, 
10,5,6,9,0,47,234,0,74,8,1,98,12,2,65,5,3,100,29,4,51,12, 
10,5,6,9,0,29,144,0,48,13,1,71,13,2,79,15,3,100,19,4,48,1, 
10,5,6,9,0,27,135,0,25,5,1,30,5,2,47,11,3,30,5,4,100,22, 
10,5,6,9,0,40,197,0,73,37,1,100,29,2,93,10,3,87,51,4,58,0, 
10,5,6,9,0,28,137,0,51,0,1,100,40,2,55,8,3,94,21,4,60,28, 
10,5,6,9,0,33,163,0,91,2,1,51,10,2,100,2,3,72,5,4,99,20, 
10,5,6,9,0,27,134,0,59,5,1,82,24,2,22,5,3,100,14,4,72,16, 
10,5,6,9,0,31,152,0,15,6,1,100,0,2,58,8,3,94,0,4,10,0, 
10,5,6,9,0,21,102,0,60,11,1,100,15,2,65,10,3,49,1,4,41,5, 
10,5,6,8,0,32,159,0,49,0,1,61,24,2,97,36,3,100,28,4,33,5, 
10,5,6,8,0,25,121,0,100,30,1,44,0,2,39,7,3,11,0,4,18,0, 
10,5,6,8,0,58,290,0,99,20,1,94,26,2,51,17,3,79,40,4,100,20, 
10,5,6,9,0,34,169,0,60,17,1,99,14,2,43,0,3,100,13,4,43,20, 
10,5,6,9,0,27,135,0,22,8,1,45,24,2,88,10,3,38,30,4,100,10, 
10,5,6,9,0,34,166,0,100,7,1,89,29,2,69,18,3,64,5,4,59,10, 
10,5,6,8,0,32,158,0,68,13,1,81,30,2,100,39,3,56,15,4,91,32, 
10,5,6,9,0,40,198,0,99,16,1,66,21,2,100,19,3,68,10,4,65,8, 
10,5,6,8,0,30,150,0,57,11,1,83,7,2,99,26,3,84,22,4,100,15, 
10,5,6,8,0,29,141,0,100,6,1,33,8,2,51,10,3,90,8,4,50,6, 
10,5,6,8,0,29,142,0,49,11,1,100,19,2,58,17,3,50,5,4,30,8, 
10,5,6,9,0,42,208,0,79,24,1,60,10,2,100,26,3,99,38,4,82,8, 
10,5,6,10,0,25,124,0,4,0,1,22,0,2,60,0,3,100,15,4,22,0, 
10,5,6,9,0,31,152,0,78,4,1,100,50,2,78,6,3,54,7,4,91,5, 
10,5,6,8,0,28,139,0,73,8,1,34,4,2,88,14,3,100,26,4,48,0, 
10,5,6,7,1,28,137,0,60,22,1,100,10,2,40,9,3,82,15,4,41,11, 
10,5,6,8,0,24,117,0,39,8,1,100,4,2,95,5,3,77,26,4,77,13, 
10,5,6,8,0,29,145,0,54,18,1,62,15,2,92,32,3,78,20,4,100,24, 
10,5,6,9,0,30,148,0,26,0,1,26,5,2,100,15,3,52,11,4,40,12, 
10,5,6,8,0,51,251,0,100,8,1,67,28,2,99,11,3,99,28,4,73,8, 
10,5,6,9,0,26,130,0,81,30,1,33,10,2,67,23,3,32,10,4,100,20, 
10,5,6,8,0,28,136,0,100,35,1,70,3,2,93,16,3,96,16,4,33,10, 
10,5,6,9,0,40,197,0,73,10,1,100,15,2,86,35,3,98,18,4,27,10, 
10,5,6,9,0,35,175,0,45,10,1,99,38,2,86,32,3,43,22,4,100,40, 
10,5,6,8,0,41,204,0,88,25,1,29,13,2,69,5,3,100,10,4,85,52, 
10,5,6,9,0,31,155,0,47,13,1,76,31,2,85,37,3,78,41,4,100,35, 
10,5,6,9,0,44,219,0,80,36,1,81,23,2,77,29,3,100,14,4,97,28, 
10,5,6,9,0,23,111,0,100,13,1,38,0,2,60,1,3,83,11,4,60,5, 
10,5,6,8,0,34,169,0,83,24,1,16,5,2,82,3,3,100,24,4,56,16, 
10,5,6,8,0,36,177,0,61,5,1,100,17,2,76,34,3,56,35,4,76,39, 
10,5,6,9,0,24,119,0,33,8,1,55,11,2,86,22,3,100,26,4,42,5, 
10,5,6,8,0,35,172,0,68,28,1,100,22,2,56,25,3,56,28,4,62,18, 
10,5,6,9,0,49,244,0,99,45,1,72,11,2,88,5,3,100,66,4,81,10, 
10,5,6,9,0,45,224,0,69,15,1,79,22,2,77,10,3,100,22,4,99,11, 
10,5,6,9,0,37,181,0,100,17,1,87,6,2,63,9,3,50,12,4,72,5, 
10,5,6,9,0,43,213,0,78,22,1,99,53,2,100,40,3,90,26,4,86,20, 
10,5,6,10,0,49,245,0,81,31,1,49,2,2,67,21,3,79,13,4,100,6, 
10,5,6,9,0,45,224,0,99,28,1,97,13,2,59,2,3,100,22,4,89,18, 
10,5,6,8,0,40,200,0,80,5,1,97,29,2,94,11,3,96,15,4,100,21, 
10,5,6,9,0,43,211,0,100,39,1,47,8,2,95,40,3,47,9,4,47,10, 
10,5,6,9,0,39,192,0,75,15,1,100,18,2,69,7,3,65,7,4,75,15, 
10,5,6,8,1,31,151,0,100,15,1,48,10,2,63,27,3,92,26,4,99,37, 
10,5,6,9,0,51,254,0,54,20,1,61,32,2,40,14,3,100,10,4,99,52, 
10,5,6,9,0,36,177,0,96,31,1,100,22,2,78,15,3,80,17,4,82,11, 
10,5,6,9,0,45,225,0,91,10,1,76,11,2,74,13,3,92,11,4,100,21, 
10,5,6,9,0,46,229,0,99,17,1,28,1,2,99,24,3,100,31,4,79,19, 
10,5,6,9,0,32,157,0,81,6,1,100,53,2,99,18,3,87,10,4,8,1, 
10,5,6,9,0,31,151,0,100,24,1,89,25,2,86,23,3,99,46,4,73,23, 
10,5,6,8,0,42,210,0,84,16,1,66,10,2,71,39,3,90,20,4,100,62, 
10,5,6,9,0,43,212,0,99,34,1,100,17,2,69,31,3,96,47,4,76,27, 
10,5,6,9,0,21,102,0,76,5,1,100,10,2,75,10,3,48,0,4,56,5, 
10,5,6,9,0,36,178,0,92,0,1,93,19,2,100,11,3,99,13,4,98,30, 
10,5,6,8,0,35,174,0,30,3,1,87,20,2,79,29,3,100,35,4,94,45, 
10,5,6,9,0,31,153,0,98,6,1,94,10,2,100,17,3,97,19,4,67,19, 
10,5,6,8,0,28,138,0,97,10,1,71,10,2,100,12,3,32,5,4,29,10, 
10,5,6,8,0,35,175,0,50,0,1,85,20,2,95,15,3,85,15,4,100,16, 
10,5,6,8,0,40,198,0,87,18,1,57,6,2,100,22,3,71,20,4,51,7, 
10,5,6,8,0,37,182,0,36,0,1,100,19,2,55,8,3,27,10,4,65,15, 
10,5,6,11,0,26,130,0,26,0,1,98,17,2,73,17,3,79,40,4,100,21, 
10,5,6,9,0,32,157,0,87,21,1,100,21,2,32,21,3,81,30,4,84,26, 
10,5,6,8,0,47,234,0,30,16,1,89,40,2,69,26,3,100,25,4,91,28, 
10,5,6,8,0,41,202,0,59,12,1,100,30,2,79,33,3,17,6,4,25,9, 
10,5,6,8,0,45,223,0,39,15,1,80,25,2,100,29,3,80,25,4,98,40, 
