,,,,,Turn,,,,,,,,,,,,,,,,
10,5,20,7,0,10,0,100,5,1,41,0,2,21,0,3,99,18,4,82,19, 
10,5,20,7,0,22,0,100,20,1,99,15,2,99,0,3,90,38,4,98,15, 
10,5,20,7,0,22,0,93,10,1,97,14,2,44,11,3,96,34,4,100,26, 
10,5,20,8,0,10,0,73,0,1,71,40,2,100,23,3,37,3,4,43,32, 
10,5,20,8,0,8,0,26,11,1,19,9,2,100,0,3,28,31,4,82,6, 
10,5,20,9,0,10,0,98,12,1,36,14,2,100,5,3,47,0,4,19,18, 
10,5,20,8,0,12,0,100,31,1,52,18,2,56,17,3,56,0,4,82,28, 
10,5,20,9,0,12,0,100,15,1,5,0,2,97,16,3,52,18,4,34,5, 
10,5,20,9,0,11,0,79,29,1,78,25,2,90,41,3,57,5,4,100,41, 
10,5,20,8,0,10,0,91,32,1,100,11,2,99,14,3,44,11,4,99,35, 
10,5,20,9,0,24,0,100,8,1,76,8,2,89,13,3,94,0,4,97,0, 
10,5,20,8,0,29,0,18,0,1,40,4,2,99,5,3,99,7,4,100,10, 
10,5,20,8,0,22,0,51,4,1,100,17,2,57,0,3,83,18,4,46,0, 
10,5,20,16,0,21,0,91,10,1,100,0,2,99,5,3,33,13,4,25,0, 
10,5,20,9,0,7,0,87,5,1,51,5,2,22,0,3,100,35,4,8,0, 
10,5,20,9,0,10,0,56,19,1,100,5,2,60,20,3,76,15,4,11,0, 
10,5,20,8,0,7,0,45,12,1,49,0,2,78,6,3,100,25,4,10,0, 
10,5,20,8,0,28,0,58,24,1,45,0,2,100,10,3,31,13,4,87,42, 
10,5,20,8,0,16,0,18,0,1,100,22,2,93,32,3,37,45,4,72,19, 
10,5,20,8,0,14,0,40,10,1,95,0,2,100,10,3,40,20,4,95,20, 
10,5,20,9,0,20,0,97,5,1,82,29,2,63,5,3,94,35,4,100,103, 
10,5,20,8,0,7,0,80,10,1,16,0,2,98,23,3,27,0,4,100,25, 
10,5,20,7,0,12,0,26,5,1,44,0,2,100,10,3,58,0,4,20,0, 
10,5,20,8,0,61,0,58,0,1,99,153,2,50,5,3,96,23,4,100,41, 
10,5,20,8,0,28,0,100,10,1,30,5,2,68,38,3,34,10,4,34,0, 
10,5,20,8,0,22,0,100,36,1,8,0,2,99,88,3,22,0,4,99,56, 
10,5,20,7,0,8,0,95,5,1,11,0,2,44,0,3,100,19,4,92,5, 
10,5,20,8,0,32,0,4,0,1,18,0,2,37,0,3,100,79,4,72,5, 
10,5,20,8,0,16,0,14,0,1,7,0,2,97,5,3,95,42,4,100,0, 
10,5,20,8,0,18,0,96,60,1,15,0,2,80,35,3,55,18,4,100,10, 
10,5,20,8,0,45,0,86,31,1,48,0,2,82,46,3,48,20,4,100,74, 
10,5,20,7,0,15,0,58,5,1,58,25,2,58,0,3,30,0,4,100,7, 
10,5,20,8,0,28,0,97,40,1,98,50,2,68,0,3,34,0,4,100,39, 
10,5,20,8,0,12,0,51,5,1,98,40,2,100,15,3,49,5,4,25,0, 
10,5,20,8,0,17,0,95,15,1,45,8,2,40,5,3,18,0,4,100,13, 
10,5,20,8,0,16,0,100,34,1,98,31,2,21,0,3,67,42,4,98,16, 
10,5,20,8,0,21,0,9,0,1,94,22,2,100,21,3,80,0,4,46,0, 
10,5,20,8,0,24,0,100,20,1,49,5,2,43,0,3,40,5,4,81,34, 
10,5,20,9,0,8,0,85,0,1,100,5,2,48,1,3,23,5,4,82,18, 
10,5,20,8,0,10,0,52,18,1,2,0,2,66,10,3,65,29,4,100,0, 
10,5,20,8,0,11,0,88,8,1,70,2,2,32,0,3,17,0,4,100,18, 
10,5,20,8,0,8,0,100,25,1,20,0,2,17,0,3,96,27,4,19,0, 
10,5,20,8,0,33,0,86,40,1,97,173,2,80,0,3,100,18,4,14,0, 
10,5,20,8,0,20,0,100,40,1,40,18,2,99,10,3,99,20,4,46,0, 
10,5,20,10,0,39,0,100,2,1,99,21,2,99,5,3,94,21,4,12,0, 
10,5,20,10,0,19,0,12,4,1,46,0,2,30,0,3,99,0,4,100,0, 
10,5,20,13,0,18,0,20,0,1,98,14,2,100,5,3,99,17,4,38,18, 
10,5,20,8,0,17,0,98,18,1,100,20,2,98,19,3,96,11,4,19,5, 
10,5,20,9,0,27,0,99,45,1,100,16,2,98,24,3,31,0,4,98,0, 
10,5,20,8,0,14,0,15,0,1,100,65,2,98,21,3,17,0,4,51,11, 
10,5,20,8,0,14,0,100,15,1,21,0,2,41,0,3,21,0,4,78,0, 
10,5,20,8,0,20,0,37,0,1,37,7,2,100,1,3,37,6,4,69,11, 
